4,37,5600,34,21
200,859,56034,346,200
3,3171,23,74,30
2,20,4,47,1816
8,44,2577,56,11
25,33173,35,153,131
64,108,5844,284,10
167,511,69150,471,58
62,755,77618,165,103
10,175,47511,99,32
0,14,1897,20,4
1,14,2,10,1456
44,317,39,348,32911
6,36,3330,9,70
11,27,2437,102,8
55,166,13,209,10643
39,206,10995,170,22
19,852,44994,98,46
17,90,5218,203,11
14,45,3475,101,13
40,157,6867,346,12
5,91,3690,55,18
69,1071,99273,285,105
220,2178,159,845,156876
8,35,2700,75,19
24,566,37,262,31673
10,34,11,55,2617
43,463,47702,256,66
7,38,1906,81,19
2,17,1408,38,6
10,70,16,122,41022
9,69,9670,125,46
20,6302,39,196,195
46,240,85813,345,26
25,149,17,200,14665
17,793,48,153,64046
143,1325,133,576,87244
11,112,8627,74,30
20,302,215460,214,73
186,472,55,630,219548
79,735,66,470,130250
3,29,11,96,5408
71,492,70,752,29169
35,69,6999,114,21
9,37,3952,74,9
111,30198,79,439,345
9,41,59,14,3165
156,309,52,396,7779
37,83,19,167,3741
486,679,109,1722,72341
38,148,82,311,27969
62,52,33,222,7969
173,618,119,1305,56679
167,187,31702,647,102
47,251,130709,321,715
1902,3779,417891,13517,3904
593,1088,465,4420,124968
599,2313,724,7412,271614
358,434,298,3045,145982
93,764,1440,888,363456
67,63167,733,168,141
138,136,147393,1103,183
85,42,45547,388,199
66,33,45770,218,139
40,16,41307,140,159
193,69,95866,706,198
79,68,50061,265,164
127,65,72723,427,287
85,46,281,231,55386
601,420,149830,2510,413
135,109,192,534,85412
212,82,686,362,100739
86,39,125,188,61322
69,29,39184,161,233
109,32,89696,206,176
323,105,233658,487,357
95,120,240,197,96337
83,54,205,242,69737
88,313,110073,157,295
107,89,370,111,121198
23,7,445,55,67890
31,10,32930,54,273
1315,1382,659307,3206,2039
119,43,150661,71,518
124,151,972,187,190236
38,30,34,1233,384939
316,138,3380,144,528041
51,10,59,111,40876
172,90,105015,421,273
201,78,134,536,134314
196,20,138,288,64338
130,54,131415,301,180
49,16,30513,78,176
37,17,135,90,56272
221,69,154299,599,145
114,119483,308,170,27
131,37,87,277,53188
73,2,25,121,36410
144,114,112473,148,465
54,37,62210,99,122
42,9,20921,43,119
70,14,82,128,76777
227,110,149644,427,104
295,43,359,283,88151
176,40,199117,289,298
393,165,102947,854,365
719,219531,4243,2324,568
168,14,149107,165,146
160,32,54331,241,66
53,5,54,86,36640
175,208,115592,422,104
59,14,31315,121,31
44,41256,79,89,19
27,4,20065,46,39
13,1,53814,22,159
5,1,28,19,7099
387,411,318427,1502,283
44,14,37777,105,63
9,10,32364,36,38
368,717,206994,15719,1637
33,5,110,49,37980
72,16,57047,162,110
54,11,55985,105,103
39,76415,13,76,76
53,50,76609,105,42
22,14,22762,79,66
82,97,62637,220,99
33,12,54,82,29820
9,8,11525,38,20
123,94,96385,421,170
36,4,34,112,38074
39,25720,100,25,3
133,40,120338,367,410
27,144586,132,544,57
43,23,116,113,64948
63,87,247264,229,454
10,0,12315,20,29
4,1,3845,19,22
44,21,286,162,27515
4,0,3882,11,30
36,13,43706,135,58
22,8,26316,61,91
33,8,86,98,45065
56,31799,135,109,8
51,9,49,147,24497
44,2,16685,113,74
44,4,22141,99,116
46,11,49703,122,79
16,11,52038,48,88
14,4,59,40,43464
15,77888,7,189,40
13,5,75661,59,38
48,28,437,151,53844
14,9,69,34,61856
41,14,81,141,52156
15,4,40552,33,34
19,18,36042,60,49
36,30,32681,147,48
17,8,529,56,99191
8,11,19153,5,35
9,6,48,30,24322
22,9,1,62,17538
70,97,99323,262,97
31,87968,120,1,25
29,15,61,76,38736
38,42,7,125,61923
23,26,38110,67,37
63,175299,238,257,378
17,26,36,60,44000
15,6,0,38,35358
33,21,1,120,47235
13,23,6,84,116706
84,94,5,719,114187
17,5,43669,72,68
49,43,18,165,198632
8,5,24587,25,0
20,20,2,66,49784
4,1,15365,20,6
17,10,32838,55,35
16,0,22924,43,2
14,39266,48,96,1
8,5,26,37,17523
9,2,5,35,12667
27,12,0,81,49734
19,3,27247,56,0
14,14,17,43,69927
26,59006,14,72,6
25,4,62,8,19902
37,16,71466,111,212
141,51,68292,647,17
135,42,12,618,52301
134,33,49653,606,18
144,38,7,624,61390
232,131,149025,523,1116
14,14,11,52,19557
10,8439,18,101,0
9,2,12434,11,52
23,15,90398,90,49
66,163,148169,309,295
2,0,49,4,4226
16,5,118,50,18460
11,4,35,66,37815
3,0,38,9,4237
37,94,68,107,56801
26,3,18729,98,40
7,2,19538,16,85
18,1,11668,41,13
26,14,54,66,40407
31,22,30020,12,76
3,0,4525,9,40
6,0,4,22,3982
41,19,62188,109,100
12,25,64113,36,23
54,25,32,204,49149
10,20309,26,11,5
15,23,39,37,22609
34,16,47808,120,114
7,6837,11,17,1
11,3,47801,21,21
12,3,18,41,24607
